Time,Solar Power (MW),Diesel Generator Power (MW),Battery Power (MW),Wind Power (MW),Load Profile (MW),Output power (MW),Output power (Sources)
21.7117401849544,0.0133738613573681,-0.504654670810189,1,0.503516625625572,1.4,1.503516625625572,Battery Wind
21.7177575410652,0.0133705033348713,-0.504953836936727,1,0.503101161826253,1.4,1.5031011618262529,Battery Wind
21.723774897176,0.0133662862306562,-0.505081223402753,1,0.502992785736614,1.4,1.5029927857366139,Battery Wind
21.7297922532868,0.0133624153526687,-0.505343659290415,1,0.50260701885764,1.4,1.5026070188576401,Battery Wind
21.7358096093976,0.0133577812063163,-0.505436845826647,1,0.502532203475328,1.4,1.5025322034753281,Battery Wind
21.7418269655083,0.01335354948983,-0.505664124781174,1,0.502186492443189,1.4,1.502186492443189,Battery Wind
21.7478443216191,0.0133486521634606,-0.505726719868831,1,0.502152939121693,1.4,1.502152939121693,Battery Wind
21.7538616777299,0.0133437744343898,-0.506016687521202,1,0.501582714869682,1.4,1.501582714869682,Battery Wind
21.7598790338407,0.0133391870994624,-0.505945136183095,1,0.501913297211497,1.4,1.501913297211497,Battery Wind
21.7658963899515,0.0133409122576143,-0.506254343523733,1,0.502150225854879,1.4,1.5021502258548791,Battery Wind
21.7719137460623,0.0133576864875144,-0.507027091170628,1,0.503301469489797,1.4,1.503301469489797,Battery Wind
21.7779311021731,0.0133326986291774,-0.506170888800218,1,0.502960503474332,1.4,1.5029605034743319,Battery Wind
21.7839484582839,0.013330133063683,-0.506096641673457,1,0.503434021669432,1.4,1.503434021669432,Battery Wind
21.7899658143947,0.0133269213134893,-0.506295516310953,1,0.503204310979615,1.4,1.5032043109796152,Battery Wind
21.7959831705054,0.0133246569605223,-0.506393944396999,1,0.503368164229497,1.4,1.5033681642294972,Battery Wind
21.8020005266162,0.0133156441279386,-0.506570696935497,1,0.502467921775627,1.4,1.5024679217756272,Battery Wind
21.808017882727,0.0133134531816403,-0.506655395854868,1,0.502659353434557,1.4,1.5026593534345571,Battery Wind
21.8140352388378,0.0133112865027081,-0.506997170953381,1,0.502259200780647,1.4,1.502259200780647,Battery Wind
21.8200525949486,0.0133081067319029,-0.507196257809392,1,0.502106556009934,1.4,1.502106556009934,Battery Wind
21.8260699510594,0.0133052215885938,-0.507515890930827,1,0.50171147920869,1.4,1.5017114792086899,Battery Wind
21.8320873071702,0.0133013684646901,-0.507687550081141,1,0.501561623136223,1.4,1.501561623136223,Battery Wind
21.838104663281,0.0132978307680963,-0.507968599599737,1,0.501186259676595,1.4,1.501186259676595,Battery Wind
21.8441220193918,0.0132934220749311,-0.508101543787666,1,0.501061794400636,1.4,1.501061794400636,Battery Wind
21.8501393755025,0.013289406461386,-0.508342711299816,1,0.500719420740801,1.4,1.500719420740801,Battery Wind
21.8561567316133,0.0132846226298784,-0.508438929446681,1,0.500631184515695,1.4,1.500631184515695,Battery Wind
21.8621740877241,0.0132803089612946,-0.508643367783583,1,0.500333247594847,1.4,1.500333247594847,Battery Wind
21.8681914438349,0.0132748657056361,-0.508803375915829,1,0.500002272645245,1.4,1.5000022726452449,Battery Wind
21.8742087999457,0.0132707687560774,-0.508863368397665,1,0.500081099112952,1.4,1.5000810991129518,Battery Wind
21.8802261560565,0.0132939891453524,-0.509826101690282,1,0.501623901436823,1.4,1.501623901436823,Battery Wind
21.8862435121673,0.0132679892182626,-0.508996331552439,1,0.501109051975725,1.4,1.501109051975725,Battery Wind
21.8922608682781,0.0132653554167747,-0.508915841175768,1,0.501610488201498,1.4,1.501610488201498,Battery Wind
